ft, group, intercept, ft_coef, group_coef, p-value
ft1, id0, -104638.312253517, 15045.0342041051, -424.45654952414, 0
ft1, id1, -104638.043269468, 15045.0339336779, -601.323144725319, 0
ft1, id2, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, id3, -104639.75881704, 15045.0356584301, 526.710500888704, 0
ft1, id4, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, id5, -104636.766026784, 15045.0326495823, -1441.15571121144, 0
ft1, id6, -104636.712209666, 15045.0325954764, -1476.54238372786, 0
ft1, id7, -104636.861374471, 15045.0327454415, -1378.46121028136, 0
ft1, id8, -104636.765976013, 15045.0326495312, -1441.18909486475, 0
ft1, id9, -104636.669917534, 15045.0325529573, -1504.35096694125, 0
ft1, id10, -104636.753080213, 15045.0326365662, -1449.66854280737, 0
ft1, id11, -104636.75404486, 15045.032637536, -1449.03425339434, 0
ft1, id12, -104636.608484786, 15045.032491195, -1544.74518745531, 0
ft1, id13, -104636.798824764, 15045.0326825562, -1419.5898711684, 0
ft1, id14, -104636.653112377, 15045.032536062, -1515.40095618931, 0
ft1, id15, -104637.267389089, 15045.0331536346, -1111.4921347022, 0
ft1, id16, -104636.602239969, 15045.0324849167, -1548.85137681334, 0
ft1, id17, -104637.021658096, 15045.0329065851, -1273.06901675838, 0
ft1, id18, -104638.804984775, 15045.0346994801, -100.468193985042, 0
ft1, id19, -104636.65209696, 15045.0325350412, -1516.06862925567, 0
ft1, id20, -104636.666109719, 15045.0325491291, -1506.85474094007, 0
ft1, id21, -104636.611784892, 15045.0324945128, -1542.57524998971, 0
ft1, id22, -104636.664129655, 15045.0325471384, -1508.15670341947, 0
ft1, id23, -104636.758512696, 15045.0326420279, -1446.09649190243, 0
ft1, id24, -104636.669917534, 15045.0325529573, -1504.35096694127, 0
ft1, id25, -104636.665602011, 15045.0325486187, -1507.18857747325, 0
ft1, id26, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, id27, -104638.114313515, 15045.0052077645, -304.482035895565, 0
ft1, id28, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, id29, -104636.861374471, 15045.0327454415, -1378.46121028138, 0
ft1, id30, -104636.483385371, 15045.0323654244, -1627.00250922936, 0
ft1, id31, -104636.847920191, 15045.0327319151, -1387.30787841048, 0
ft1, id32, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, id33, -104636.798570909, 15045.032682301, -1419.75678943498, 0
ft1, id34, -104636.45515677, 15045.0323370443, -1645.56382047382, 0
ft1, id35, -104637.057502328, 15045.0329426217, -1249.5001575163, 0
ft1, id36, -104636.615389624, 15045.0324981369, -1540.20501060414, 0
ft1, id37, -104636.673522266, 15045.0325565814, -1501.98072755572, 0
ft1, id38, -104638.692425764, 15045.0345863172, -174.479753389686, 0
ft1, id39, -104636.804511101, 15045.0326882731, -1415.85090199685, 0
ft1, id40, -104636.722516152, 15045.0326058382, -1469.76550210444, 0
ft1, id41, -104637.06176708, 15045.0329469093, -1246.69593063764, 0
ft1, id42, -104636.658392548, 15045.0325413705, -1511.9290562443, 0
ft1, id43, -104636.845178565, 15045.0327291587, -1389.11059568965, 0
ft1, id44, -104638.697553622, 15045.0345914725, -171.108004404643, 0
ft1, id45, -104636.678548581, 15045.0325616347, -1498.6757458773, 0
ft1, id46, -104637.062274789, 15045.0329474198, -1246.36209410446, 0
ft1, id47, -104636.760898927, 15045.0326444269, -1444.52746019649, 0
ft1, id48, -104636.598533696, 15045.0324811905, -1551.28838350552, 0
ft1, id49, -104638.685673239, 15045.0345795284, -178.919779280916, 0
ft1, id50, -104636.749272398, 15045.032632738, -1452.17231680618, 0
ft1, id51, -104636.68728117, 15045.0325704141, -1492.93375750671, 0
ft1, id52, -104636.652198502, 15045.0325351432, -1516.00186194902, 0
ft1, id53, -104636.673674578, 15045.0325567345, -1501.88057659577, 0
ft1, id54, -104635.691106003, 15045.0315688941, -2147.95441924728, 0
ft1, id55, -104636.665602011, 15045.0325486187, -1507.18857747322, 0
ft1, id56, -104636.669917534, 15045.0325529573, -1504.35096694124, 0
ft1, id57, -104636.529637631, 15045.0324119248, -1596.5900010572, 0
ft1, id58, -104636.52958686, 15045.0324118737, -1596.62338471051, 0
ft1, id59, -104635.677347098, 15045.0315550614, -2157.00138929629, 0
ft1, id60, -104636.620872877, 15045.0325036495, -1536.59957604588, 0
ft1, id61, -104636.552129124, 15045.0324345369, -1581.80104263766, 0
ft1, id62, -104636.63742418, 15045.0325202896, -1525.71650506441, 0
ft1, id63, -104636.642958204, 15045.0325258534, -1522.07768685282, 0
ft1, id64, -104636.665602011, 15045.0325486187, -1507.18857747326, 0
ft1, id65, -104636.643973622, 15045.0325268742, -1521.41001378646, 0
ft1, id66, -104636.665398927, 15045.0325484145, -1507.32211208652, 0
ft1, id67, -104636.643973622, 15045.0325268742, -1521.41001378646, 0
ft1, id68, -104636.615897332, 15045.0324986473, -1539.87117407098, 0
ft1, id69, -104636.652198502, 15045.0325351432, -1516.00186194904, 0
ft1, id70, -104636.665602011, 15045.0325486187, -1507.18857747326, 0
ft1, id71, -104636.529993027, 15045.0324122821, -1596.35631548402, 0
ft1, id72, -104636.673674578, 15045.0325567345, -1501.88057659579, 0
ft1, id73, -104636.613714185, 15045.0324964524, -1541.30667116363, 0
ft1, id74, -104636.528723755, 15045.032411006, -1597.19090681694, 0
ft1, id75, -104636.664129655, 15045.0325471384, -1508.15670341945, 0
ft1, id76, -104636.315029179, 15045.0321961649, -1737.70270362986, 0
ft1, id77, -104638.68572401, 15045.0345795795, -178.886395627625, 0
ft1, id78, -104638.71974049, 15045.0346137785, -156.519347904986, 0
ft1, id79, -104636.686570378, 15045.0325696995, -1493.40112865318, 0
ft1, id80, -104636.942354003, 15045.0328268555, -1325.21428324017, 0
ft1, id81, -104636.715814397, 15045.0325991005, -1474.17214434236, 0
ft1, id82, -104636.653467773, 15045.0325364193, -1515.16727061611, 0
ft1, id83, -104636.898183349, 15045.0327824479, -1354.25806162628, 0
ft1, id84, -104636.658341777, 15045.0325413195, -1511.96243989764, 0
ft1, id85, -104636.754857194, 15045.0326383527, -1448.50011494128, 0
ft1, id86, -104636.661286487, 15045.03254428, -1510.02618800524, 0
ft1, id87, -104636.61691275, 15045.0324996682, -1539.20350100465, 0
