feature, flag, intercept, feature_coef, flag_coef, p-value
ft1, X.O1, -104638.312253517, 15045.0342041051, -424.45654952414, 0
ft1, X.O2, -104638.043269468, 15045.0339336779, -601.323144725319, 0
ft1, X.O3, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, X.Os, -104639.75881704, 15045.0356584301, 526.710500888704, 0
ft1, X.Ofast, -104636.665602011, 15045.0325486187, -1507.18857747324, 0
ft1, X.fno.reg.struct.return, -104643.279539353, 15045.0422963509, 155.99643360641, 0
ft1, X.fsignaling.nans, -104679.419641698, 15044.9877838984, 1189.46784123311, 0
ft1, X.fno.tree.loop.distribute.patterns, -104621.971289497, 15045.0324085162, -455.056473145447, 0
ft1, X.fno.if.conversion2, -104745.788475743, 15044.9578409017, 2532.31300066795, 0
ft1, X.fpartial.inlining, -104995.499328664, 15038.1979661119, 11527.0134387221, 0
ft1, X.ftree.scev.cprop, -104657.98776341, 15045.0263206926, 430.153116539258, 0
ft1, X.fomit.frame.pointer, -104844.137201367, 15045.8881332323, 3562.97084716487, 0
ft1, X.fipa.icf, -104634.911030768, 15045.034418777, -113.014062229993, 0
ft1, X.ftree.dominator.opts, -104651.262121589, 15045.0299307125, 268.883576919514, 0
ft1, X.ftree.pre, -104625.723608382, 15045.0139570498, -321.041139782744, 0
ft1, X.fno.omit.frame.pointer, -104672.877268874, 15045.011783277, 888.952327817721, 0
ft1, X.ftree.sink, -104607.014438855, 15045.0228730741, -626.146232752843, 0
ft1, X.ftracer, -104544.328898222, 15045.215353113, -2313.00034706801, 0
ft1, X.ftree.reassoc, -104565.920226641, 15044.9614236649, -1412.4939177124, 0
ft1, X.fsched.spec.insn.heuristic, -104639.467131549, 15045.0332682159, 13.9445051169931, 0
ft1, X.ftree.builtin.call.dce, -104730.456676677, 15044.891235191, 2442.29818511859, 0
ft1, X.fsched2.use.superblocks, -104659.460632349, 15044.939380502, 524.531122044287, 0
ft1, X.fcx.limited.range, -104663.020789599, 15045.0200415956, 606.46437621827, 0
ft1, X.fselective.scheduling, -104661.640569683, 15045.2457294546, 792.244872831963, 0
ft1, X.fno.reorder.blocks, -104644.592391154, 15045.0344222334, 189.563336418678, 0
ft1, X.fexpensive.optimizations, -104577.298499866, 15044.9728629873, -1559.35281551556, 0
ft1, X.fno.align.labels, -104582.940093969, 15044.9785348509, -1473.34496389999, 0
ft1, X.fno.devirtualize, -104578.174582517, 15044.9737437705, -1427.39705890304, 0
ft1, X.fasynchronous.unwind.tables, -104595.469920959, 15044.9911319056, -1504.99034071737, 0
ft1, X.fstdarg.opt, -104593.247982388, 15044.9888980454, -1366.17364733595, 0
ft1, X.falign.functions, -104636.404369769, 15045.0367527776, -56.9019354177478, 0
ft1, X.fwrapv, -104639.332788087, 15045.0356706718, 8.31807545953745, 0
ft1, X.fipa.pta, -104616.643500968, 15045.028948081, -514.016109698034, 0
ft1, X.freorder.functions, -104680.597002822, 15044.9932213086, 1298.24861544404, 0
ft1, X.fpredictive.commoning, -104585.038185425, 15045.4090525579, -1465.91496573703, 0
ft1, X.fno.ipa.sem.equality, -104636.036971948, 15045.0349226378, -93.4808327465726, 0
ft1, X.ffinite.math.only, -104593.463231624, 15044.9891144496, -1424.48981904846, 0
ft1, X.fno.unsafe.math.optimizations, -104564.210516994, 15044.9800486128, -1536.43440320093, 0
ft1, X.fno.reorder.blocks.and.partition, -104577.639674989, 15044.9732059929, -1493.29031130071, 0
ft1, X.fif.conversion, -104606.471318967, 15045.0021923307, -613.8219930003, 0
ft1, X.fno.cse.follow.jumps, -104583.703705861, 15044.8897745218, -1371.89002732922, 0
ft1, X.fno.pack.struct, -104574.440543702, 15044.969989697, -1571.19930357923, 0
ft1, X.fno.aggressive.loop.optimizations, -104733.543157639, 15044.8863906088, 2524.68285983489, 0
ft1, X.fno.btr.bb.exclusive, -104596.95088408, 15044.9926208147, -1200.91436791866, 0
ft1, X.frename.registers, -104707.394378833, 15044.9274340851, 1826.71690368182, 0
ft1, X.fcse.follow.jumps, -104709.024614361, 15044.9319135545, 1797.27255538648, 0
ft1, X.fipa.cp.alignment, -104455.673578964, 15048.89063071, -4568.60843191076, 0
ft1, X.fno.tree.cselim, -104622.194604898, 15045.030867864, -400.163608029489, 0
ft1, X.fno.var.tracking.assignments.toggle, -104629.801076669, 15045.0342350964, -267.063201402179, 0
ft1, X.fstrict.overflow, -104648.203826082, 15045.1161069679, 182.892708136606, 0
ft1, X.fno.forward.propagate, -104581.171254243, 15044.9767565206, -1407.28515677, 0
ft1, X.funswitch.loops, -104580.86970312, 15044.9764533515, -1469.03768612032, 0
ft1, X.faggressive.loop.optimizations, -104611.848024798, 15045.0276790571, -624.481342292194, 0
ft1, X.fno.if.conversion, -104595.08256702, 15044.9907424734, -1373.78645183167, 0
ft1, X.fno.unswitch.loops, -104697.106587515, 15045.3620398956, 1671.36032798767, 0
ft1, X.fvar.tracking.assignments.toggle, -104664.893896238, 15045.0188886427, 653.672620759634, 0
ft1, X.fipa.pure.const, -104633.797426529, 15045.0345048156, -150.50618644922, 0
ft1, X.ftree.loop.distribute.patterns, -104681.973065884, 15045.0133402896, 1006.9311620151, 0
ft1, X.fno.tree.bit.ccp, -104631.359209584, 15045.0343402569, -221.618901504392, 0
ft1, X.fguess.branch.probability, -104640.506528502, 15045.0346443183, 54.913677482764, 0
ft1, X.fsched.spec.load, -104619.702605883, 15045.0308322505, -476.967719143135, 0
ft1, X.fearly.inlining, -104624.143303469, 15045.0327210975, -396.869702480145, 0
ft1, X.fno.ipa.profile, -104675.525284719, 15044.9946422004, 1196.87238509169, 0
ft1, X.fno.tree.phiprop, -104658.739302012, 15044.8467326131, 465.958946698996, 0
ft1, X.fno.graphite, -104607.97419738, 15044.4683460538, -545.325281527616, 0
ft1, X.ftree.coalesce.inlined.vars, -104613.085484608, 15044.8102991439, -771.782005963887, 0
ft1, X.fdse, -104623.074566912, 15045.0320316574, -408.843329559892, 0
ft1, X.fcombine.stack.adjustments, -104738.044299005, 15044.9223749179, 2198.58022962412, 0
ft1, X.fno.reciprocal.math, -104590.064184398, 15045.1516871499, -1262.63088280108, 0
ft1, X.fno.sched.stalled.insns.dep, -104595.881170175, 15044.9915453614, -1490.75818229063, 0
ft1, X.fshrink.wrap, -104464.769959595, 15047.5896865156, -3992.33196267307, 0
ft1, X.fivopts, -104621.045181339, 15044.9889597321, -446.71514431739, 0
ft1, X.fipa.profile, -104654.93086494, 15044.9690525262, 371.46827237171, 0
ft1, X.fno.predictive.commoning, -104601.537963983, 15045.0208191786, -733.494869586354, 0
ft1, X.fno.strict.aliasing, -104571.818355787, 15044.8920782029, -1396.32527353043, 0
ft1, X.freorder.blocks.and.partition, -104666.339978335, 15045.0143136214, 747.414955193612, 0
ft1, X.ftree.slsr, -104687.390324022, 15044.9562489719, 1979.32435385618, 0
ft1, X.fdevirtualize.speculatively, -104571.442837197, 15044.854926651, -1480.90879027644, 0
ft1, X.fbranch.probabilities, -104680.288827112, 15045.1566154206, 997.737543702285, 0
ft1, X.fvar.tracking, -104575.226834831, 15044.9707802069, -1351.78602475827, 0
ft1, X.fno.unroll.all.loops, -104751.980976043, 15044.8842646357, 2054.15368714673, 0
ft1, X.fira.share.save.slots, -104642.400506873, 15045.0341652726, 64.5128233807807, 0
ft1, X.fno.tree.dominator.opts, -104666.579974564, 15045.0141335995, 753.965808701607, 0
ft1, X.fno.expensive.optimizations, -104583.85944403, 15044.9794591336, -1509.54661166924, 0
ft1, X.fsched.dep.count.heuristic, -104624.912276491, 15045.0323581016, -361.539594050517, 0
ft1, X.fsched.rank.heuristic, -104735.136711564, 15045.2875829472, 2291.38738937708, 0
ft1, X.fno.split.wide.types, -104573.840982274, 15044.9693869187, -1529.16479266969, 0
ft1, X.ffunction.cse, -104585.177714924, 15044.9807844776, -1537.49167841536, 0
ft1, X.fno.jump.tables, -104629.68287363, 15045.0149096687, -181.088674396209, 0
ft1, X.fno.optimize.strlen, -104669.780071521, 15045.0280306286, 832.868207120905, 0
ft1, X.fipa.ra, -104646.912833094, 15045.0235723531, 183.636528047097, 0
ft1, X.fsplit.ivs.in.unroller, -104606.957944432, 15045.0222679959, -609.095883075606, 0
ft1, X.fdelete.dead.exceptions, -104627.085825497, 15045.0335789356, -331.549538847638, 0
ft1, X.ftree.lrs, -104795.519988855, 15046.6547472135, 3964.95425759392, 0
ft1, X.fsel.sched.pipelining, -104552.796689497, 15046.381899828, -2595.6474658951, 0
ft1, X.fno.inline, -104736.071895085, 15044.8339450211, 3094.6846620561, 0
ft1, X.fno.selective.scheduling, -104609.750970278, 15045.1192021991, -834.94044307801, 0
ft1, X.fira.share.spill.slots, -104634.995710845, 15045.0247646449, -126.570809548787, 0
ft1, X.fno.ipa.icf, -104698.823963173, 15044.8945348191, 1593.98537279126, 0
ft1, X.fsel.sched.pipelining.outer.loops, -104617.88293507, 15045.0298428195, -503.090014393996, 0
ft1, X.fdelete.null.pointer.checks, -104669.769976256, 15044.8932702156, 825.578126262307, 0
ft1, X.ffloat.store, -104641.76638213, 15045.0327635548, 62.5888136146867, 0
ft1, X.fno.tree.dce, -104644.312810735, 15045.0337832135, 200.694483611629, 0
ft1, X.fno.unroll.loops, -104666.494802687, 15045.0121038686, 784.194508490024, 0
ft1, X.fno.branch.probabilities, -104572.656085063, 15044.968195664, -1503.30090768886, 0
ft1, X.ftree.forwprop, -104613.411223926, 15045.0091694711, -1399.81421753346, 0
ft1, X.frounding.math, -104540.019728764, 15046.0581972259, -3083.58578767349, 0
ft1, X.fassociative.math, -104590.013207527, 15044.9856459146, -1287.31199807162, 0
ft1, X.fno.rtti, -104652.620131216, 15045.0301630981, 270.582498079124, 0
ft1, X.fno.auto.inc.dec, -104585.425496494, 15045.1213186994, -2354.4005612887, 0
ft1, X.fno.crossjumping, -104634.625931426, 15045.0349562339, -138.641366481455, 0
ft1, X.fno.sched.pressure, -104616.594405276, 15045.0493841567, -536.114397317765, 0
ft1, X.fshort.enums, -104576.567355665, 15044.9721279202, -1367.46421876087, 0
ft1, X.fno.compare.elim, -104568.248823722, 15044.674878157, -2036.31733948037, 0
ft1, X.fno.var.tracking.assignments, -104585.040318829, 15044.9806463443, -1418.10605723158, 0
ft1, X.fipa.icf.functions, -104640.607513628, 15045.0347269448, 55.5014400335982, 0
ft1, X.funsafe.loop.optimizations, -104589.47271033, 15044.8160768037, -880.371679192546, 0
ft1, X.fno.schedule.insns, -104627.546419891, 15044.9600398448, -296.335370455296, 0
ft1, X.ftree.dse, -104630.100155644, 15045.0335783667, -237.289701632753, 0
ft1, X.fno.loop.interchange, -104576.288434047, 15044.971847502, -1471.69026652555, 0
ft1, X.ftree.loop.if.convert, -104607.355599315, 15045.0242639716, -658.733876882034, 0
ft1, X.ftree.fre, -104564.062926733, 15044.9783194014, -1803.51165177275, 0
ft1, X.frerun.cse.after.loop, -104716.033222925, 15044.8863529195, 2342.59255890396, 0
ft1, X.floop.nest.optimize, -104634.023005717, 15045.0298918437, -1081.59659447689, 0
ft1, X.fno.tree.ccp, -104664.954175991, 15045.0171720466, 681.306161528423, 0
ft1, X.fno.sched.spec.load.dangerous, -104588.282114421, 15044.5731922558, -1400.83302504576, 0
ft1, X.fno.asynchronous.unwind.tables, -104576.470695658, 15045.0782254348, -1157.5517153546, 0
ft1, X.flifetime.dse, -104620.86999151, 15045.0062934497, -438.782601609375, 0
ft1, X.fno.delete.dead.exceptions, -104600.892199507, 15044.4079347295, -829.858670313549, 0
ft1, X.fstrict.enums, -104583.06138856, 15044.9786567963, -1531.4111909369, 0
ft1, X.ftree.switch.conversion, -104626.706034353, 15045.0330899081, -328.215892616819, 0
ft1, X.fjump.tables, -104715.282495045, 15044.8769537877, 2432.19973622928, 0
ft1, X.fno.inline.functions.called.once, -104624.646405693, 15045.0314507484, -341.635229247391, 0
ft1, X.fno.threadsafe.statics, -104678.932765623, 15045.0724604701, 910.03890777069, 0
ft1, X.ftree.copy.prop, -104741.648357857, 15044.0717650623, 2445.68126853558, 0
ft1, X.fsched.spec, -104574.24797008, 15044.9413003909, -1506.46360637677, 0
ft1, X.ftree.loop.distribution, -104668.667434763, 15045.0165659173, 748.777792969452, 0
ft1, X.funwind.tables, -104644.349347386, 15045.0379810923, 105.387840221224, 0
ft1, X.fno.web, -104567.270979357, 15044.9756209466, -1508.36879848225, 0
ft1, X.fno.tree.reassoc, -104591.122092205, 15044.9867607489, -1367.55081616926, 0
ft1, X.fno.align.functions, -104610.982376009, 15044.9238629939, -826.55638059007, 0
ft1, X.ftree.slp.vectorize, -104592.336846014, 15045.8277038535, -1425.13734612273, 0
ft1, X.fno.peephole, -104711.347228653, 15045.0532473877, 1691.21181584346, 0
ft1, X.fauto.inc.dec, -104584.534806695, 15044.9801381199, -1431.40174671651, 0
ft1, X.fschedule.fusion, -104637.107529289, 15045.0346545165, -51.6721760411593, 0
ft1, X.fno.strict.overflow, -104891.637698287, 15032.7399523952, 11638.8852855167, 0
ft1, X.fno.stdarg.opt, -104572.155532485, 15046.0698625121, -1803.95385591846, 0
ft1, X.fno.tree.loop.im, -104652.539629133, 15044.9334337198, 304.939722956289, 0
ft1, X.fno.tree.switch.conversion, -104604.86020175, 15045.1007988419, -954.70220018074, 0
ft1, X.fsched.critical.path.heuristic, -104600.062291095, 15044.9957489157, -1420.84275027213, 0
ft1, X.flive.range.shrinkage, -104581.400606581, 15044.9921468395, -1780.97757975499, 0
ft1, X.fsched.last.insn.heuristic, -104649.203571114, 15045.033471927, 363.283009747221, 0
ft1, X.fno.tree.loop.ivcanon, -104642.039342252, 15045.0342374297, 57.745005566328, 0
ft1, X.falign.labels, -104642.561229502, 15045.0338706779, 143.211855359068, 0
ft1, X.fno.reorder.functions, -104534.381974117, 15045.743595061, -2607.68514601911, 0
ft1, X.fno.lifetime.dse, -104618.310021566, 15044.7136264038, -612.125407741993, 0
ft1, X.fsched.spec.load.dangerous, -104601.004580873, 15045.1806916537, -958.341361148258, 0
ft1, X.fno.dce, -104620.947299825, 15045.0310921661, -446.135547398756, 0
ft1, X.fno.short.wchar, -104572.41828508, 15044.9859438426, -1728.94634883912, 0
ft1, X.fno.delete.null.pointer.checks, -104634.322380375, 15045.0349634613, -148.356557003509, 0
ft1, X.fvpt, -104620.783959849, 15045.0300437681, -418.639396914317, 0
ft1, X.frtti, -104766.504058421, 15044.751017285, 3203.59529137015, 0
ft1, X.floop.parallelize.all, -104636.664129655, 15045.0325471384, -1508.15670341943, 0
ft1, X.fsel.sched.reschedule.pipelined, -104615.630877933, 15045.027548715, -502.158191529956, 0
ft1, X.ftree.copyrename, -104606.521789765, 15045.0915517778, -907.966400862976, 0
ft1, X.fno.sched.last.insn.heuristic, -104751.480090927, 15044.8611474786, 2229.96216898349, 0
ft1, X.fgcse.las, -104751.071551795, 15044.8333684384, 3256.9814419726, 0
ft1, X.fno.gcse, -104636.729217684, 15045.0349061558, -71.3254187614806, 0
ft1, X.freorder.blocks, -104629.148395222, 15045.0346180637, -299.378557462082, 0
ft1, X.fno.tree.vectorize, -104641.258901959, 15045.0345428958, 81.5904354054589, 0
ft1, X.fno.tree.pre, -104546.71768449, 15045.2211699344, -2341.65909677708, 0
ft1, X.fno.sched.stalled.insns, -104634.05146711, 15045.0345219611, -143.096872243165, 0
ft1, X.fno.tree.vrp, -104619.665521931, 15045.0314260867, -496.594171148079, 0
ft1, X.fssa.phiopt, -104700.501133652, 15044.567982272, 1947.92930937756, 0
ft1, X.fno.hoist.adjacent.loads, -104702.942638799, 15044.9622206082, 1419.72739675129, 0
ft1, X.fsched.stalled.insns.dep, -104682.784524745, 15045.1710729522, 1432.95739860286, 0
ft1, X.fno.prefetch.loop.arrays, -104663.375966624, 15045.5079803579, 761.306094666611, 0
ft1, X.fcprop.registers, -104626.110849911, 15045.0334742962, -358.777802769171, 0
ft1, X.fno.tree.loop.if.convert.stores, -104685.300083777, 15045.0091009206, 1124.85791663218, 0
ft1, X.fno.strict.volatile.bitfields, -104570.742491878, 15044.9703661543, -1443.02252190747, 0
ft1, X.fmath.errno, -104623.531978701, 15045.0321129104, -397.069278590021, 0
ft1, X.fno.associative.math, -104645.636808038, 15045.0332825697, 128.828907534787, 0
ft1, X.fno.delayed.branch, -104654.535044921, 15045.038556391, 371.854056613943, 0
ft1, X.ftree.loop.vectorize, -104694.936083869, 15044.9584287508, 1275.5496338131, 0
ft1, X.fno.rounding.math, -104593.435223593, 15044.9890862912, -1425.3667846976, 0
ft1, X.finline.functions.called.once, -104668.295940366, 15044.9774857981, 740.66497202309, 0
ft1, X.ftree.loop.optimize, -104582.460394772, 15044.9780525779, -1485.96173635201, 0
ft1, X.ftree.cselim, -104535.197352251, 15047.6990397708, -3640.81323374591, 0
ft1, X.fno.move.loop.invariants, -104574.130674982, 15044.3817679393, -1741.21388228928, 0
ft1, X.fno.ipa.reference, -104602.851036512, 15045.3387146375, -1227.51700093662, 0
ft1, X.finline, -104662.947928648, 15045.3877614363, 691.129203995257, 0
ft1, X.fbranch.count.reg, -104619.051793659, 15045.029585386, -458.540364877156, 0
ft1, X.fgcse.sm, -104556.112797802, 15045.0767167086, -2134.31846536652, 0
ft1, X.fno.thread.jumps, -104576.715732814, 15044.9722770934, -1515.79123338269, 0
ft1, X.fno.gcse.lm, -104639.848822009, 15045.0347849597, 29.9770326922519, 0
ft1, X.fsched.stalled.insns, -104635.661155645, 15045.068008655, -96.1610481194968, 0
