feature, flag, intercept, feature_coef, flag_coef, p-value
ft1, X.O1, -124478.444229817, 18897.2427909483, -14612.1670904461, 0
ft1, X.O2, -124478.271600296, 18897.2427909483, -14788.9397197225, 0
ft1, X.O3, -124477.387436073, 18897.2427909483, -15694.3238840011, 0
ft1, X.Os, -124479.372610397, 18897.2427909483, -13661.5053763433, 0
ft1, X.Ofast, -124477.387436073, 18897.2427909483, -15694.323884001, 0
ft1, X.fno.reg.struct.return, -124644.467924434, 18897.4003559456, 4614.51153672387, 0
ft1, X.fsignaling.nans, -124568.593001834, 18897.2298504708, 2084.38999250908, 0
ft1, X.fno.tree.loop.distribute.patterns, -124424.319822099, 18897.2427909483, -1945.43223871636, 0
ft1, X.fno.if.conversion2, -124450.860811944, 18897.2427909483, -1071.43967479657, 0
ft1, X.fpartial.inlining, -124680.832848241, 18895.0446801765, 5980.7623680223, 0
ft1, X.ftree.scev.cprop, -124431.233780149, 18897.2427909483, -1464.08529186344, 0
ft1, X.fomit.frame.pointer, -124348.26162737, 18896.5244404831, -2921.93042539259, 0
ft1, X.fipa.icf, -124474.279302531, 18897.2427909483, -524.362573099414, 0
ft1, X.ftree.dominator.opts, -124357.626493191, 18897.2427909483, -3293.56022370787, 0
ft1, X.ftree.pre, -124507.352494548, 18897.2427909483, 356.902285585071, 0
ft1, X.fno.omit.frame.pointer, -124417.037534649, 18897.2427909483, -2152.57285949917, 0
ft1, X.ftree.sink, -124476.462931872, 18897.2427909483, -320.019542048956, 0
ft1, X.ftracer, -124228.839469074, 18897.8664344514, -7972.50015774628, 0
ft1, X.ftree.reassoc, -124175.006228425, 18897.2427909483, -7746.01620275778, 0
ft1, X.fsched.spec.insn.heuristic, -124349.571788466, 18897.4943209589, -4452.22491994939, 0
ft1, X.ftree.builtin.call.dce, -124731.310672495, 18897.2427909483, 5311.3710915524, 0
ft1, X.fsched2.use.superblocks, -124763.554708482, 18896.7976585886, 5431.80180758983, 0
ft1, X.fcx.limited.range, -124532.817905275, 18897.2427909483, 977.773251866865, 0
ft1, X.fselective.scheduling, -124819.002418986, 18898.747042367, 8501.67010926713, 0
ft1, X.floop.interchange, -125673.42419809, 18897.2427909483, 28117.3795446899, 0
ft1, X.fno.reorder.blocks, -124896.059498488, 18897.2427909483, 9178.35262285981, 0
ft1, X.fexpensive.optimizations, -124544.133916065, 18897.2427909483, 1224.51329366518, 0
ft1, X.fno.align.labels, -124479.83649774, 18897.2427909483, -338.114993274981, 0
ft1, X.fno.devirtualize, -124406.266457409, 18897.2427909483, -2159.07819599854, 0
ft1, X.fasynchronous.unwind.tables, -124573.470687717, 18897.2427909483, 2505.90684239012, 0
ft1, X.fstdarg.opt, -124447.723462691, 18897.2427909483, -1396.06765536304, 0
ft1, X.falign.functions, -124409.794307574, 18897.2610035652, -1955.73394617966, 0
ft1, X.fwrapv, -124676.026436882, 18897.4440813804, 3602.54406761591, 0
ft1, X.fipa.pta, -124499.986022151, 18897.2427909483, 165.480628003149, 0
ft1, X.freorder.functions, -124588.738614272, 18897.2427909483, 2731.3689608636, 0
ft1, X.fpredictive.commoning, -124432.464527026, 18897.5227602662, -1639.85868643052, 0
ft1, X.fno.ipa.sem.equality, -124436.58462658, 18897.2427909483, -1915.88002682639, 0
ft1, X.ffinite.math.only, -124625.878527647, 18897.2427909483, 3588.43562862508, 0
ft1, X.fno.unsafe.math.optimizations, -124447.88155106, 18897.2509361324, -937.13368293985, 0
ft1, X.fno.reorder.blocks.and.partition, -124420.354748259, 18897.2427909483, -1852.3949051489, 0
ft1, X.fif.conversion, -124350.48469404, 18897.180379274, -2956.75673902329, 0
ft1, X.fno.cse.follow.jumps, -124381.244985841, 18897.0504344009, -3008.14265384614, 0
ft1, X.fno.pack.struct, -124473.013288846, 18897.2427909483, -480.320253450644, 0
ft1, X.fno.aggressive.loop.optimizations, -124595.116270905, 18897.2427909483, 2557.5610483917, 0
ft1, X.fno.btr.bb.exclusive, -124572.226007046, 18897.2427909483, 2087.70186645725, 0
ft1, X.frename.registers, -124495.686404591, 18897.2427909483, 80.1005231134062, 0
ft1, X.fcse.follow.jumps, -124482.258088264, 18897.2427909483, -274.532718989598, 0
ft1, X.fipa.cp.alignment, -124149.726196394, 18903.183848347, -10234.8343177559, 0
ft1, X.fno.tree.cselim, -124518.009075177, 18897.2427909483, 588.687149041312, 0
ft1, X.fno.var.tracking.assignments.toggle, -124622.152004356, 18897.2427909483, 3313.61485094875, 0
ft1, X.fstrict.overflow, -124527.256268315, 18897.4375942261, 697.288376523944, 0
ft1, X.fno.forward.propagate, -124422.618603272, 18897.2427909483, -1794.44021680204, 0
ft1, X.funswitch.loops, -124464.146008421, 18897.2427909483, -731.338644986319, 0
ft1, X.faggressive.loop.optimizations, -124332.777682173, 18897.2427909483, -4199.35158661788, 0
ft1, X.fno.if.conversion, -124490.340583445, 18897.2427909483, -73.6454841041586, 0
ft1, X.fno.unswitch.loops, -124627.895313097, 18897.7698967973, 3567.38151464057, 0
ft1, X.fvar.tracking.assignments.toggle, -124561.539998294, 18897.2427909483, 1639.02092628204, 0
ft1, X.fipa.pure.const, -124515.162635864, 18897.2427909483, 638.541130604132, 0
ft1, X.ftree.loop.distribute.patterns, -124599.026366134, 18897.2427909483, 2316.25405315138, 0
ft1, X.fno.tree.bit.ccp, -124459.122767886, 18897.2427909483, -1011.68659140428, 0
ft1, X.fguess.branch.probability, -124522.197067895, 18897.2427909483, 1006.35797004206, 0
ft1, X.fsched.spec.load, -124475.915151882, 18897.2427909483, -419.559582826609, 0
ft1, X.fearly.inlining, -124425.722150034, 18897.2427909483, -1905.54379967011, 0
ft1, X.fno.ipa.profile, -124654.510070497, 18897.2427909483, 4477.81766934165, 0
ft1, X.fno.tree.phiprop, -124333.079223255, 18898.1993220559, -4164.14701261952, 0
ft1, X.fno.graphite, -124475.831650063, 18897.0243649703, -318.110380469351, 0
ft1, X.ftree.coalesce.inlined.vars, -124601.895519144, 18897.7522099163, 3016.71919723086, 0
