file, performance, flags, total_flag_effect
DSP_autocor_c.c, 7641, [-fivopts (-5075.36818918619); -fno-sched-spec-load (2603.7986948891808); -funroll-loops (2586.1647670677776); -fno-sched-spec-load-dangerous (1028.4250960466932); -fno-cprop-registers (-4340.370644966024); -finline (4934.918110528175); -fcrossjumping (-5675.215730017774); -fstrict-overflow (347.03639412701324); -ftree-lrs (1776.6403588785304); -fnothrow-opt (-519.4093261502211); -fno-combine-stack-adjustments (-4110.922063806539); -fselective-scheduling2 (-6660.433691282289); -fomit-frame-pointer (-3162.7121106887666); -fno-delete-dead-exceptions (-595.8438166266583); -fno-tree-ch (-5390.5960464441305); -ftree-coalesce-vars (-23.471176333232233)], -22277.359373964453
DSP_blk_eswap16_c.c, 3812, [-fhoist-adjacent-loads (-1723.849306622874); -funsafe-loop-optimizations (-6320.013363508393); -fno-shrink-wrap (-6967.463689669351); -fno-finite-math-only (231.9244510079885); -foptimize-sibling-calls (-4627.247435549565); -fno-lifetime-dse (604.9957448983014); -fno-prefetch-loop-arrays (3066.891198279459); -fno-partial-inlining (-8422.2447724037); -fno-finite-math-only (231.9244510079885); -fstrict-volatile-bitfields (-2305.4381925466128); -fcrossjumping (-5722.084995410083); -fno-ira-share-save-slots (-6264.439154431417); -fno-graphite (-1585.5488264274238); -fno-tree-ch (-5606.909363048505); -fno-tree-coalesce-vars (-8722.132549135351); -funroll-all-loops (701.6044442286858)], -53430.031359330846
DSP_blk_eswap32_c.c, 3923, [-fhoist-adjacent-loads (-1723.849306622874); -funsafe-loop-optimizations (-6320.013363508393); -fno-shrink-wrap (-6967.463689669351); -fno-finite-math-only (231.9244510079885); -foptimize-sibling-calls (-4627.247435549565); -fno-lifetime-dse (604.9957448983014); -fno-prefetch-loop-arrays (3066.891198279459); -fno-partial-inlining (-8422.2447724037); -fno-finite-math-only (231.9244510079885); -fstrict-volatile-bitfields (-2305.4381925466128); -fcrossjumping (-5722.084995410083); -fno-ira-share-save-slots (-6264.439154431417); -fno-graphite (-1585.5488264274238); -fno-tree-ch (-5606.909363048505); -fno-tree-coalesce-vars (-8722.132549135351); -funroll-all-loops (701.6044442286858)], -53430.031359330846
DSP_blk_eswap64_c.c, 3991, [-Os (-13661.505376343677)], -13661.505376343677
DSP_blk_move_c.c, 799, [-fhoist-adjacent-loads (-1716.4010419066285); -funsafe-loop-optimizations (-6312.838562328911); -fno-shrink-wrap (-6955.48882892588); -fno-finite-math-only (260.9488950202349); -foptimize-sibling-calls (-4635.633656323049); -fno-lifetime-dse (629.0902757420139); -fno-prefetch-loop-arrays (3094.9774429860245); -fno-partial-inlining (-8399.895375047048); -fno-finite-math-only (260.9488950202349); -fstrict-volatile-bitfields (-2276.685523427254); -fcrossjumping (-5730.969256688298); -fno-ira-share-save-slots (-6227.757467902734); -fno-graphite (-1553.4147631789078); -fno-tree-ch (-5668.710117972095); -fno-tree-coalesce-vars (-8692.610657755875); -funroll-all-loops (750.8492637937998)], -53173.59047889437
DSP_dotprod_c.c, 637, [-fivopts (-5075.36818918619); -fno-sched-spec-load (2603.7986948891808); -funroll-loops (2586.1647670677776); -fno-sched-spec-load-dangerous (1028.4250960466932); -fno-cprop-registers (-4340.370644966024); -finline (4934.918110528175); -fcrossjumping (-5675.215730017774); -fstrict-overflow (347.03639412701324); -ftree-lrs (1776.6403588785304); -fnothrow-opt (-519.4093261502211); -fno-combine-stack-adjustments (-4110.922063806539); -fselective-scheduling2 (-6660.433691282289); -fomit-frame-pointer (-3162.7121106887666); -fno-delete-dead-exceptions (-595.8438166266583); -fno-tree-ch (-5390.5960464441305); -ftree-coalesce-vars (-23.471176333232233)], -22277.359373964453
DSP_dotp_sqr_c.c, 2074, [-fshrink-wrap (-3788.429473827315); -fsched-stalled-insns-dep (-3869.2126399630465); -fno-peephole (3717.273876705968); -fno-sel-sched-pipelining-outer-loops (-3635.561455181939); -fno-unswitch-loops (3259.473619261426); -fno-cprop-registers (-4327.198439886093); -fsched-stalled-insns-dep (-3869.2126399630465); -fno-exceptions (-1586.7850914075236); -fno-schedule-insns (-945.9478104539696); -fno-rerun-cse-after-loop (-1668.6113211441727); -funroll-loops (2646.4499746248557); -fopt-info (-448.37593085426295); -fno-unswitch-loops (3259.473619261426); -fsched-rank-heuristic (484.55773174087517); -fselective-scheduling2 (-6611.740638487616); -fno-move-loop-invariants (-2228.9711464672846)], -19612.817766041724
DSP_firlms2_c.c, 960, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
DSP_fir_cplx_c.c, 10261, [-funroll-loops (2646.4499746248557); -fno-forward-propagate (-1794.4402168020583); -fno-tree-slp-vectorize (3486.392004343754); -fno-sel-sched-pipelining-outer-loops (-3635.561455181939); -fno-tree-fre (-2424.333912316821); -fbranch-target-load-optimize2 (-2018.9183569449672); -fno-trapv (-2998.234778490178); -fipa-profile (-4486.057168270273); -fno-exceptions (-1586.7850914075236); -fstrict-enums (41.30013878517251); -ftree-loop-ivcanon (-975.7707981921847); -fno-tree-copyrename (442.1585504619466); -fno-inline (4476.989548819426); -fno-align-labels (-338.11499327513945); -fipa-cp-clone (-59.93528383604878); -ftree-cselim (-680.255246153009)], -9905.117083834986
DSP_fltoq15_c.c, 6428, [-funwind-tables (-4152.236521566131); -fno-tree-pre (-449.15433324446354); -fno-ira-share-spill-slots (1224.9759499012137); -fno-tree-slp-vectorize (3487.133969431166); -fsched2-use-superblocks (5794.017645972749); -fno-tree-copyrename (442.9325057196275); -fdelayed-branch (-1961.1434715331595); -fno-asynchronous-unwind-tables (-5517.608802220122); -ftree-copyrename (-2623.003154890901); -falign-jumps (-5924.908144706639); -fcrossjumping (-5782.950628847824); -fsched-spec-insn-heuristic (-4060.5113381964875); -ftracer (-7447.83258270105); -fno-loop-unroll-and-jam (1481.4787301245888); -foptimize-sibling-calls (-4656.532733259745); -fdelete-null-pointer-checks (999.8740605429775)], -29145.4688494742
