file, performance, flags, total_flag_effect
DSP_autocor_c.c, 7641, [-fivopts (-587.7465204793541); -fno-sched-spec-load (832.5994707694376); -funroll-loops (-220.81423339970206); -fno-sched-spec-load-dangerous (-1734.3962643928398); -fno-cprop-registers (-924.1576650088749); -finline (-146.8979218343884); -fcrossjumping (-3618.794366360832); -fstrict-overflow (-316.2607768756678); -ftree-lrs (3442.843029366717); -fnothrow-opt (-700.5901443962216); -fno-combine-stack-adjustments (95.80626549494494); -fselective-scheduling2 (-2178.609392222203); -fomit-frame-pointer (3464.3391464703423); -fno-delete-dead-exceptions (-1842.017681358593); -fno-tree-ch (-4848.167531990857); -ftree-coalesce-vars (-555.9826029164093)], -9838.847189134502
DSP_blk_eswap16_c.c, 3812, [-fhoist-adjacent-loads (-1389.1977691183936); -funsafe-loop-optimizations (-1207.6820465207918); -fno-shrink-wrap (-2303.3652298882566); -fno-finite-math-only (-3842.868202516877); -foptimize-sibling-calls (-1054.577142392107); -fno-lifetime-dse (-1810.4576276379057); -fno-prefetch-loop-arrays (-719.0576719502051); -fno-partial-inlining (-1982.5277738120406); -fno-finite-math-only (-3842.868202516877); -fstrict-volatile-bitfields (877.9810264044826); -fcrossjumping (-3676.11413582202); -fno-ira-share-save-slots (-3921.2176002071897); -fno-graphite (-2015.8922216707874); -fno-tree-ch (-5096.99346089497); -fno-tree-coalesce-vars (-2956.966494647069); -funroll-all-loops (6989.397979429298)], -27952.406573761706
DSP_blk_eswap32_c.c, 3923, [-fhoist-adjacent-loads (-1389.1977691183936); -funsafe-loop-optimizations (-1207.6820465207918); -fno-shrink-wrap (-2303.3652298882566); -fno-finite-math-only (-3842.868202516877); -foptimize-sibling-calls (-1054.577142392107); -fno-lifetime-dse (-1810.4576276379057); -fno-prefetch-loop-arrays (-719.0576719502051); -fno-partial-inlining (-1982.5277738120406); -fno-finite-math-only (-3842.868202516877); -fstrict-volatile-bitfields (877.9810264044826); -fcrossjumping (-3676.11413582202); -fno-ira-share-save-slots (-3921.2176002071897); -fno-graphite (-2015.8922216707874); -fno-tree-ch (-5096.99346089497); -fno-tree-coalesce-vars (-2956.966494647069); -funroll-all-loops (6989.397979429298)], -27952.406573761706
DSP_blk_eswap64_c.c, 3991, [-Os (433.04738924097455)], 433.04738924097455
DSP_blk_move_c.c, 799, [-fhoist-adjacent-loads (-1379.9537523461433); -funsafe-loop-optimizations (-1200.066943954283); -fno-shrink-wrap (-2290.4188380998266); -fno-finite-math-only (-3805.3062006188434); -foptimize-sibling-calls (-1065.3731823601154); -fno-lifetime-dse (-1780.7888428077886); -fno-prefetch-loop-arrays (-684.3595202679868); -fno-partial-inlining (-1960.9499788369722); -fno-finite-math-only (-3805.3062006188434); -fstrict-volatile-bitfields (907.0736057341038); -fcrossjumping (-3684.2385298778863); -fno-ira-share-save-slots (-3882.4102004943375); -fno-graphite (-1979.2365762702661); -fno-tree-ch (-5163.843089475803); -fno-tree-coalesce-vars (-2930.4196223994236); -funroll-all-loops (7039.139259689093)], -27666.45861300532
DSP_dotprod_c.c, 637, [-fivopts (-587.7465204793541); -fno-sched-spec-load (832.5994707694376); -funroll-loops (-220.81423339970206); -fno-sched-spec-load-dangerous (-1734.3962643928398); -fno-cprop-registers (-924.1576650088749); -finline (-146.8979218343884); -fcrossjumping (-3618.794366360832); -fstrict-overflow (-316.2607768756678); -ftree-lrs (3442.843029366717); -fnothrow-opt (-700.5901443962216); -fno-combine-stack-adjustments (95.80626549494494); -fselective-scheduling2 (-2178.609392222203); -fomit-frame-pointer (3464.3391464703423); -fno-delete-dead-exceptions (-1842.017681358593); -fno-tree-ch (-4848.167531990857); -ftree-coalesce-vars (-555.9826029164093)], -9838.847189134502
DSP_dotp_sqr_c.c, 2074, [-fshrink-wrap (-3351.683661095015); -fsched-stalled-insns-dep (1258.7725440452068); -fno-peephole (1700.889423851242); -fno-sel-sched-pipelining-outer-loops (-1606.2639146777615); -fno-unswitch-loops (1322.9597633922228); -fno-cprop-registers (-910.7744681835184); -fsched-stalled-insns-dep (1258.7725440452068); -fno-exceptions (1188.3270240585364); -fno-schedule-insns (-736.7449002632641); -fno-rerun-cse-after-loop (-445.3527507115147); -funroll-loops (-144.40097619300334); -fopt-info (-1095.3198672894646); -fno-unswitch-loops (1322.9597633922228); -fsched-rank-heuristic (2438.9608228176185); -fselective-scheduling2 (-2131.005394869417); -fno-move-loop-invariants (-2545.4526941984427)], -2475.3567418791454
DSP_firlms2_c.c, 960, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
DSP_fir_cplx_c.c, 10261, [-funroll-loops (-144.40097619300334); -fno-forward-propagate (-1494.9267508577332); -fno-tree-slp-vectorize (2975.358462571567); -fno-sel-sched-pipelining-outer-loops (-1606.2639146777615); -fno-tree-fre (-2420.442281832647); -fbranch-target-load-optimize2 (432.49748001383364); -fno-trapv (-181.0607577160191); -fipa-profile (585.606993429151); -fno-exceptions (1188.3270240585364); -fstrict-enums (-1618.6415967039989); -ftree-loop-ivcanon (-1397.8702890071415); -fno-tree-copyrename (-1746.6297760558068); -fno-inline (3262.3749325284207); -fno-align-labels (-1560.712003074593); -fipa-cp-clone (5312.759391695221); -ftree-cselim (-2596.877899710118)], -1010.9019615320931
DSP_fltoq15_c.c, 6428, [-funwind-tables (113.22146240841994); -fno-tree-pre (-1912.8780267906695); -fno-ira-share-spill-slots (-2695.9356075934447); -fno-tree-slp-vectorize (3012.3332047643025); -fsched2-use-superblocks (1181.5655534453183); -fno-tree-copyrename (-1757.6966957438076); -fdelayed-branch (117.22554498422485); -fno-asynchronous-unwind-tables (-1002.6597549914892); -ftree-copyrename (-597.5065719291349); -falign-jumps (-714.0876015928172); -fcrossjumping (-3743.867279782321); -fsched-spec-insn-heuristic (489.7827782828774); -ftracer (-1902.8004461023377); -fno-loop-unroll-and-jam (-675.6350941809106); -foptimize-sibling-calls (-1086.716812804801); -fdelete-null-pointer-checks (1486.0225209215832)], -9689.632826705008
DSP_mat_mul_c.c, 46655, [-fno-split-wide-types (-1616.9443121918105); -fno-sched-spec (-1462.2733460236557); -fipa-cp-alignment (-3704.437526527938); -fno-inline (3262.3749325284207); -ftree-tail-merge (-1561.7906941592032); -fno-tree-vrp (-513.6650102164846); -fpartial-inlining (12345.005292025735); -fno-sched-rank-heuristic (3963.6129888378714); -fno-tree-loop-im (424.96461869816505); -ftree-fre (-2183.7706918190056); -ftree-copy-prop (3011.688110061415); -ftree-switch-conversion (-342.41823411712636); -funroll-all-loops (7013.346982803857); -fno-non-call-exceptions (-1423.0777411243225); -fipa-reference (-709.4161560700339); -fno-indirect-inlining (5564.008507084809)], 22067.20771979069
DSP_mat_trans_c.c, 12711, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
