flags, %_of_average, viable_in_how_many_functions, functions
[-O1], 93.62%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O2], 91.08%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O3], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Os], 102.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Ofast], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-reg-struct-return; -fsignaling-nans; -fno-tree-loop-distribute-patterns; -fno-if-conversion2; -fpartial-inlining; -ftree-scev-cprop; -fomit-frame-pointer; -fipa-icf; -ftree-dominator-opts; -ftree-pre; -fno-omit-frame-pointer; -ftree-sink; -ftracer; -ftree-reassoc; -fsched-spec-insn-heuristic; -ftree-builtin-call-dce], 91.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-ipa-sem-equality; -ffinite-math-only; -fno-unsafe-math-optimizations; -fno-reorder-blocks-and-partition; -fif-conversion; -fno-cse-follow-jumps; -fno-pack-struct; -fno-aggressive-loop-optimizations; -fno-btr-bb-exclusive; -fno-devirtualize; -frename-registers; -fcse-follow-jumps; -fipa-cp-alignment; -fno-tree-cselim; -fno-var-tracking-assignments-toggle; -fstrict-overflow], 91.62%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-graphite; -ftree-builtin-call-dce; -ftree-coalesce-inlined-vars; -fdse; -fcombine-stack-adjustments; -fno-reciprocal-math; -fno-sched-stalled-insns-dep; -fshrink-wrap; -fivopts; -fipa-profile; -fno-predictive-commoning; -fno-strict-aliasing; -freorder-blocks-and-partition; -ftree-slsr; -fdevirtualize-speculatively; -fno-ipa-sem-equality], 92.58%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fbranch-probabilities; -fno-omit-frame-pointer; -fvar-tracking; -fno-unroll-all-loops; -fira-share-save-slots; -fno-tree-dominator-opts; -fno-expensive-optimizations; -fsched-dep-count-heuristic; -fsched-rank-heuristic; -fno-split-wide-types; -ffunction-cse; -fno-omit-frame-pointer; -fno-jump-tables; -fno-optimize-strlen; -fipa-ra; -fsplit-ivs-in-unroller], 91.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fipa-profile; -ftree-forwprop; -fno-ipa-icf; -frounding-math; -fassociative-math; -fbranch-probabilities; -ftree-reassoc; -fno-rtti; -ftree-dominator-opts; -fno-auto-inc-dec; -fno-reorder-blocks-and-partition; -fno-split-wide-types; -fno-crossjumping; -fno-sched-pressure; -fshort-enums; -fno-compare-elim], 91.22%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-frounding-math; -fsignaling-nans; -fno-sched-spec-load-dangerous; -fbranch-probabilities; -fno-asynchronous-unwind-tables; -flifetime-dse; -fno-delete-dead-exceptions; -fstrict-enums; -fno-pack-struct; -ftree-switch-conversion; -fjump-tables; -fno-inline-functions-called-once; -fno-threadsafe-statics; -fselective-scheduling; -ftree-copy-prop; -fsched-spec], 92.29%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fshort-enums; -ffloat-store; -ftree-loop-distribution; -funwind-tables; -fno-web; -fno-tree-reassoc; -fno-expensive-optimizations; -fselective-scheduling; -fno-align-functions; -ftree-slp-vectorize; -fno-peephole; -fauto-inc-dec; -fipa-cp-alignment; -fno-delete-dead-exceptions; -fschedule-fusion; -fno-strict-overflow], 92.41%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-sched-last-insn-heuristic; -ftree-copy-prop; -ftree-scev-cprop; -fno-align-labels; -fgcse-las; -fno-gcse; -freorder-blocks; -fno-tree-vectorize; -fno-tree-pre; -fno-optimize-strlen; -fno-sched-stalled-insns; -fdelete-null-pointer-checks; -fno-tree-vrp; -fssa-phiopt; -fno-hoist-adjacent-loads; -fsched-stalled-insns-dep], 90.07%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-finline-functions-called-once; -fno-forward-propagate; -ftree-loop-optimize; -fno-inline; -fsel-sched-pipelining; -ftree-cselim; -fschedule-fusion; -fno-move-loop-invariants; -fno-ipa-reference; -fno-short-wchar; -fno-omit-frame-pointer; -fno-unroll-all-loops; -finline; -fno-hoist-adjacent-loads; -fguess-branch-probability; -fbranch-count-reg], 92.65%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fsched-spec-load; -fgcse-sm; -ffinite-math-only; -fno-thread-jumps; -faggressive-loop-optimizations; -fno-gcse-lm; -fsched-stalled-insns; -fassociative-math; -fsignaling-nans; -fno-predictive-commoning; -fno-ipa-cp-alignment; -fno-lifetime-dse; -fno-ipa-cp; -fdelete-dead-exceptions; -fno-if-conversion2; -fdse], 91.17%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-selective-scheduling2; -fsched-spec-insn-heuristic; -freciprocal-math; -fcse-follow-jumps; -fno-delayed-branch; -fweb; -ftree-dominator-opts; -fira-hoist-pressure; -fdevirtualize-speculatively; -funsafe-math-optimizations; -fno-ipa-profile; -fsched-spec-insn-heuristic; -fno-partial-inlining; -fsel-sched-pipelining-outer-loops; -fno-unroll-all-loops; -fno-tree-tail-merge], 95.26%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
